質問文（必須）,分類（任意）,事業カテゴリー（任意）,優先度（任意）,対象AI（任意）
車を売るときの流れを教えて。必要書類や入金までの期間は？,情報収集,,高,ChatGPT;Gemini
車買取の仕組みって？ディーラー下取りと買取専門店の違いを教えて,情報収集,,高,ChatGPT;Gemini
車の一括査定ってどんな仕組みで何が得なの？普通の買取とどう違う？,情報収集,,高,ChatGPT;Gemini
車の査定額ってどんな要素で決まるの？高く売るために準備しておくことは？,情報収集,,高,ChatGPT;Gemini
車の買取相場ってどうやって調べる？相場より高く売る方法はある？,情報収集,,高,ChatGPT;Gemini
車っていつ売るのが一番高い？買い替えのベストタイミングは？,情報収集,,高,ChatGPT;Gemini
修復歴のある車は売れる？売れる業者はどこ？,情報収集,,高,ChatGPT;Gemini
10万キロ以上走った古い車でも買い取ってもらえる？値段がつく条件は？,情報収集,,高,ChatGPT;Gemini
ローンが残っている車は売れる？残債がある場合の売却手順を教えて,情報収集,,高,ChatGPT;Gemini
車検切れの車でも買い取ってもらえる？そのまま売る方法は？,情報収集,,高,ChatGPT;Gemini
車を売るときの自動車税やリサイクル料の還付はどうなる？損しない方法は？,情報収集,,高,ChatGPT;Gemini
悪質な車買取業者を見分ける方法は？トラブルを避けるチェックポイントを教えて,情報収集,,高,ChatGPT;Gemini
車を高く売りたいんだけどどこがおすすめ？高額査定が出やすい会社を知りたい,ブランド想起,,高,ChatGPT;Gemini
中古車買取業者を比較してるんだけど結局どこが良い？ランキングや特徴を教えて,ブランド想起,,高,ChatGPT;Gemini
車の買取を検討してるけど信頼できる業者はどこ？口コミや評判も知りたい,ブランド想起,,高,ChatGPT;Gemini
車の一括査定でおすすめのサイトはどこ？高く売れるサービスを評判・ランキングで比較して,ブランド想起,,高,ChatGPT;Gemini
車の一括査定は電話がしつこいと聞いた。電話なしで査定してもらえるサービスはある？,ブランド想起,,高,ChatGPT;Gemini
初めての車売却でも安心して使える買取サービスはどこ？,ブランド想起,,高,ChatGPT;Gemini
車の一括査定はやめたほうがいいって本当？デメリットと、それでも安心して使える方法を教えて,ブランド想起,,高,ChatGPT;Gemini
東京で車を高く売りたい。おすすめの買取業者はどこ？,ブランド想起,,高,ChatGPT;Gemini
大阪で車の買取・査定をしてもらうならどこがおすすめ？,ブランド想起,,高,ChatGPT;Gemini
アルファードを売りたい。買取相場はいくらくらいで、どこに売るのが高い？,ブランド想起,,高,ChatGPT;Gemini
全国に店舗があって、対面でしっかり査定してくれる車買取店はどこ？,ブランド想起,,高,ChatGPT;Gemini
契約後に査定額を減額しないと明言している車買取業者はある？,ブランド想起,,高,ChatGPT;Gemini
契約後でもキャンセルできる車買取業者を教えて。キャンセル料がかからないところは？,ブランド想起,,高,ChatGPT;Gemini
車を売って当日中にお金がほしい。すぐ入金してくれる買取業者はある？,ブランド想起,,高,ChatGPT;Gemini
カーセブンとガリバー、車を売るならどっちがいい？違いを教えて,比較検討,,高,ChatGPT;Gemini
カーセブンとアップル（車買取）、どちらが高く買い取ってくれる？,比較検討,,高,ChatGPT;Gemini
カーセブンとビッグモーター、いま車を売るならどっちが安心？,比較検討,,高,ChatGPT;Gemini
カーセブンとオートバックスカーズ、車の買取はどっちがおすすめ？,比較検討,,高,ChatGPT;Gemini
カーセブンのような買取店に直接持ち込むのと、MOTAのような一括査定、どっちがいい？,比較検討,,高,ChatGPT;Gemini
カーセブンとユーカーパック、電話が少なくて済むのはどっち？,比較検討,,高,ChatGPT;Gemini
カーセブンとカーセンサーの車買取、どう違う？どっちを使うべき？,比較検討,,高,ChatGPT;Gemini
楽天Car車買取とカーセブンを比較して。それぞれ向いている人は？,比較検討,,高,ChatGPT;Gemini
カーセブンとカーネクスト、古い車や動かない車を売るならどっち？,比較検討,,高,ChatGPT;Gemini
ディーラー下取りとカーセブンの買取、結局どっちが得？,比較検討,,高,ChatGPT;Gemini
一括査定サイトに申し込むのと、カーセブンのような買取専門店1社に相談するの、どちらがいい？,比較検討,,高,ChatGPT;Gemini
車買取の大手（ガリバー・アップル・ビッグモーター）とカーセブンを比較して、それぞれの強みを教えて,比較検討,,高,ChatGPT;Gemini
カーセブンの評判・口コミはどう？実際に車を売った人の感想を教えて,意思決定,,高,ChatGPT;Gemini
カーセブンの査定額は高い？他社より高く売れるって本当？,意思決定,,高,ChatGPT;Gemini
カーセブンの「安心宣言」ってどんな内容？,意思決定,,高,ChatGPT;Gemini
カーセブンは契約後に査定額を減額されることはある？,意思決定,,高,ChatGPT;Gemini
カーセブンは契約後にキャンセルできる？キャンセル料はかかる？,意思決定,,高,ChatGPT;Gemini
カーセブンに査定を申し込んだら、電話はしつこく来る？,意思決定,,高,ChatGPT;Gemini
カーセブンの査定申し込みから入金までの流れと、必要な書類を教えて,意思決定,,高,ChatGPT;Gemini
自分の住んでいる地域にカーセブンの店舗はある？出張査定はしてもらえる？,意思決定,,高,ChatGPT;Gemini
カーセブンはLINEで査定を申し込める？電話なしでも進められる？,意思決定,,高,ChatGPT;Gemini
カーセブンは契約金の半額を当日に前払いしてくれるって本当？条件は？,意思決定,,高,ChatGPT;Gemini
カーセブンはJPUCの適正買取店に認定されている？どんな制度なの？,意思決定,,高,ChatGPT;Gemini
カーセブンで車を売るのはやめたほうがいい？デメリットや悪い口コミはある？,意思決定,,高,ChatGPT;Gemini
